,hood_name,CMPLNT_NUM
0,Annadale,3
1,Arden Heights,8
2,Arlington,18
3,Arrochar,6
4,Arverne,18
5,Astoria,76
6,Astoria Heights,11
7,Auburndale,10
8,Bath Beach,39
9,Battery Park City,10
10,Bay Ridge,47
11,Bay Terrace,13
12,Baychester,10
13,Bayside,22
14,Bedford Park,57
15,Bedford Stuyvesant,170
16,Beechhurst,5
17,Bellaire,20
18,Belle Harbor,2
19,Bellerose,13
20,Belmont,80
21,Bensonhurst,47
22,Bergen Beach,2
23,Blissville,13
24,Bloomfield,2
25,Boerum Hill,44
26,Borough Park,40
27,Briarwood,39
28,Brighton Beach,44
29,Broad Channel,2
30,Broadway Junction,66
31,Brooklyn Heights,20
32,Brookville,7
33,Brownsville,103
34,Bulls Head,12
35,Bushwick,144
36,Cambria Heights,15
37,Canarsie,44
38,Carnegie Hill,58
39,Carroll Gardens,15
40,Castle Hill,16
41,Castleton Corners,5
42,Central Harlem,202
43,Chelsea,85
44,Chinatown,42
45,City Island,4
46,City Line,54
47,Civic Center,34
48,Claremont Village,94
49,Clason Point,10
50,Clifton,3
51,Clinton,118
52,Clinton Hill,38
53,Co-op City,33
54,Cobble Hill,11
55,College Point,20
56,Concord,4
57,Concourse,85
58,Concourse Village,128
59,Coney Island,43
60,Country Club,7
61,Crown Heights,63
62,Cypress Hills,31
63,Ditmas Park,23
64,Dongan Hills,6
65,Douglaston,2
66,Downtown,67
67,Downtown Flushing,72
68,Dumbo,6
69,Dyker Heights,23
70,East Elmhurst,36
71,East Flatbush,47
72,East Harlem,225
73,East New York,58
74,East Tremont,109
75,East Village,37
76,East Williamsburg,88
77,Eastchester,12
78,Edenwald,35
79,Edgemere,12
80,Edgewater Park,7
81,Egbertville,2
82,Elm Park,15
83,Elmhurst,66
84,Eltingville,9
85,Emerson Hill,4
86,Far Rockaway,60
87,Fieldston,3
88,Financial District,65
89,Flatbush,46
90,Flatiron,101
91,Flatlands,32
92,Floral Park,6
93,Fordham,138
94,Forest Hills,23
95,Forest Hills Gardens,5
96,Fort Greene,36
97,Fort Hamilton,18
98,Fresh Meadows,13
99,Fulton Ferry,1
100,Georgetown,17
101,Gerritsen Beach,23
102,Glen Oaks,12
103,Glendale,20
104,Gowanus,30
105,Gramercy,62
106,Graniteville,28
107,Grant City,9
108,Grasmere,8
109,Gravesend,38
110,Great Kills,12
111,Greenpoint,43
112,Greenridge,5
113,Greenwich Village,48
114,Grymes Hill,10
115,Hamilton Heights,126
116,Heartland Village,27
117,High  Bridge,72
118,Highland Park,29
119,Hillcrest,6
120,Hollis,25
121,Holliswood,12
122,Homecrest,29
123,Howard Beach,14
124,Huguenot,2
125,Hunters Point,20
126,Hunts Point,26
127,Inwood,57
128,Jackson Heights,74
129,Jamaica Center,55
130,Jamaica Estates,12
131,Jamaica Hills,15
132,Kensington,30
133,Kew Gardens,16
134,Kew Gardens Hills,12
135,Kingsbridge,43
136,Laurelton,21
137,Lefrak City,50
138,Lenox Hill,28
139,Lincoln Square,122
140,Lindenwood,12
141,Little Italy,21
142,Long Island City,30
143,Longwood,59
144,Lower East Side,76
145,Madison,13
146,Malba,7
147,Manhattan Beach,3
148,Manhattan Terrace,19
149,Manhattan Valley,83
150,Manhattanville,76
151,Manor Heights,6
152,Marble Hill,1
153,Marine Park,29
154,Mariner's Harbor,10
155,Maspeth,19
156,Melrose,93
157,Middle Village,14
158,Midland Beach,2
159,Midtown,117
160,Midtown South,134
161,Midwood,31
162,Mill Basin,9
163,Mill Island,4
164,Morningside Heights,27
165,Morris Heights,39
166,Morris Park,22
167,Morrisania,74
168,Mott Haven,114
169,Mount Eden,45
170,Mount Hope,89
171,Murray Hill,71
172,Navy Yard,11
173,Neponsit,4
174,New Brighton,16
175,New Dorp,3
176,New Dorp Beach,2
177,New Lots,94
178,New Springville,4
179,Noho,63
180,North Corona,45
181,North Riverdale,10
182,North Side,40
183,Norwood,52
184,Oakland Gardens,11
185,Oakwood,5
186,Ocean Hill,78
187,Ocean Parkway,29
188,Old Town,8
189,Olinville,65
190,Ozone Park,55
191,Paerdegat Basin,11
192,Park Hill,19
193,Park Slope,24
194,Parkchester,27
195,Pelham Bay,12
196,Pelham Gardens,18
197,Pelham Parkway,23
198,Pleasant Plains,5
199,Pomonok,19
200,Port Ivory,4
201,Port Morris,12
202,Port Richmond,26
203,Prince's Bay,3
204,Prospect Heights,75
205,Prospect Lefferts Gardens,104
206,Prospect Park South,34
207,Queens Village,27
208,Queensboro Hill,17
209,Randall Manor,5
210,Ravenswood,46
211,Red Hook,22
212,Rego Park,20
213,Remsen Village,48
214,Richmond Hill,63
215,Richmond Town,3
216,Richmond Valley,1
217,Ridgewood,80
218,Riverdale,7
219,Rochdale,66
220,Rockaway Park,7
221,Roosevelt Island,3
222,Rosebank,1
223,Rosedale,16
224,Rossville,7
225,Rugby,55
226,Sandy Ground,4
227,Schuylerville,38
228,Sea Gate,13
229,Seaside,37
230,Sheepshead Bay,21
231,Shore Acres,2
232,Soho,29
233,Somerville,8
234,Soundview,76
235,South Corona,35
236,South Jamaica,61
237,South Ozone Park,52
238,South Side,21
239,Spring Creek,29
240,Springfield Gardens,15
241,Spuyten Duyvil,9
242,St. Albans,35
243,St. George,28
244,Stapleton,18
245,Starrett City,20
246,Steinway,8
247,Stuyvesant Town,14
248,Sunnyside,20
249,Sunnyside Gardens,34
250,Sunset Park,103
251,Sutton Place,59
252,Throgs Neck,4
253,Tompkinsville,14
254,Tottenville,9
255,Travis,1
256,Tribeca,20
257,Tudor City,13
258,Turtle Bay,38
259,Unionport,16
260,University Heights,70
261,Upper East Side,20
262,Upper West Side,67
263,Utopia,7
264,Van Nest,53
265,Vinegar Hill,5
266,Wakefield,35
267,Washington Heights,121
268,Weeksville,115
269,West Brighton,19
270,West Farms,62
271,West Village,32
272,Westchester Square,29
273,Westerleigh,11
274,Whitestone,13
275,Williamsbridge,43
276,Williamsburg,36
277,Willowbrook,5
278,Windsor Terrace,16
279,Wingate,45
280,Woodhaven,42
281,Woodlawn,24
282,Woodrow,3
283,Woodside,42
284,Yorkville,35
