,Neighborhood,Borough,Venue_Category,Total_Count
0,Arlington,STATEN ISLAND,College/University,1
1,Arrochar,STATEN ISLAND,College/University,1
2,Arverne,QUEENS,College/University,1
3,Astoria,QUEENS,College/University,2
4,Astoria Heights,QUEENS,College/University,1
5,Bath Beach,BROOKLYN,College/University,1
6,Bedford Stuyvesant,BROOKLYN,College/University,1
7,Beechhurst,QUEENS,College/University,1
8,Bellaire,QUEENS,College/University,1
9,Bellerose,QUEENS,College/University,1
10,Bensonhurst,BROOKLYN,College/University,1
11,Blissville,QUEENS,College/University,1
12,Brighton Beach,BROOKLYN,College/University,1
13,Broadway Junction,BROOKLYN,College/University,1
14,Brownsville,BROOKLYN,College/University,1
15,Bushwick,BROOKLYN,College/University,1
16,Cambria Heights,QUEENS,College/University,1
17,Castleton Corners,STATEN ISLAND,College/University,1
18,Chinatown,MANHATTAN,College/University,1
19,Clifton,STATEN ISLAND,College/University,1
20,Concord,STATEN ISLAND,College/University,1
21,Coney Island,BROOKLYN,College/University,1
22,Crown Heights,BROOKLYN,College/University,1
23,Dongan Hills,STATEN ISLAND,College/University,1
24,East Elmhurst,QUEENS,College/University,1
25,East Williamsburg,BROOKLYN,College/University,1
26,Edgemere,QUEENS,College/University,1
27,Edgewater Park,BRONX,College/University,1
28,Elm Park,STATEN ISLAND,College/University,1
29,Elmhurst,QUEENS,College/University,2
30,Emerson Hill,STATEN ISLAND,College/University,1
31,Far Rockaway,QUEENS,College/University,1
32,Floral Park,QUEENS,College/University,1
33,Forest Hills,QUEENS,College/University,1
34,Forest Hills Gardens,QUEENS,College/University,1
35,Glen Oaks,QUEENS,College/University,1
36,Glendale,QUEENS,College/University,1
37,Graniteville,STATEN ISLAND,College/University,1
38,Grasmere,STATEN ISLAND,College/University,1
39,Gravesend,BROOKLYN,College/University,1
40,Greenpoint,BROOKLYN,College/University,1
41,Grymes Hill,STATEN ISLAND,College/University,1
42,Hollis,QUEENS,College/University,1
43,Holliswood,QUEENS,College/University,1
44,Homecrest,BROOKLYN,College/University,1
45,Hunters Point,QUEENS,College/University,1
46,Jackson Heights,QUEENS,College/University,2
47,Kew Gardens,QUEENS,College/University,1
48,Kew Gardens Hills,QUEENS,College/University,1
49,Lefrak City,QUEENS,College/University,1
50,Lenox Hill,MANHATTAN,College/University,1
51,Long Island City,QUEENS,College/University,1
52,Manhattan Beach,BROOKLYN,College/University,1
53,Mariner's Harbor,STATEN ISLAND,College/University,1
54,Maspeth,QUEENS,College/University,2
55,Middle Village,QUEENS,College/University,1
56,Morningside Heights,MANHATTAN,College/University,1
57,New Brighton,STATEN ISLAND,College/University,1
58,North Corona,QUEENS,College/University,1
59,Oakland Gardens,QUEENS,College/University,1
60,Ocean Hill,BROOKLYN,College/University,1
61,Old Town,STATEN ISLAND,College/University,1
62,Park Hill,STATEN ISLAND,College/University,1
63,Port Ivory,STATEN ISLAND,College/University,1
64,Port Richmond,STATEN ISLAND,College/University,2
65,Prospect Heights,BROOKLYN,College/University,1
66,Queens Village,QUEENS,College/University,1
67,Queensboro Hill,QUEENS,College/University,1
68,Randall Manor,STATEN ISLAND,College/University,1
69,Ravenswood,QUEENS,College/University,1
70,Rego Park,QUEENS,College/University,1
71,Remsen Village,BROOKLYN,College/University,1
72,Roosevelt Island,MANHATTAN,College/University,1
73,Rosebank,STATEN ISLAND,College/University,1
74,Rugby,BROOKLYN,College/University,1
75,Schuylerville,BRONX,College/University,1
76,Sea Gate,BROOKLYN,College/University,1
77,Sheepshead Bay,BROOKLYN,College/University,1
78,Shore Acres,STATEN ISLAND,College/University,1
79,Silver Lake,STATEN ISLAND,College/University,1
80,Somerville,QUEENS,College/University,1
81,South Corona,QUEENS,College/University,1
82,St. George,STATEN ISLAND,College/University,1
83,Stapleton,STATEN ISLAND,College/University,1
84,Steinway,QUEENS,College/University,1
85,Sunnyside,QUEENS,College/University,2
86,Sunnyside,STATEN ISLAND,College/University,1
87,Sunnyside Gardens,QUEENS,College/University,2
88,Sutton Place,MANHATTAN,College/University,1
89,Throgs Neck,BRONX,College/University,1
90,Tompkinsville,STATEN ISLAND,College/University,1
91,Tudor City,MANHATTAN,College/University,1
92,Turtle Bay,MANHATTAN,College/University,1
93,Weeksville,BROOKLYN,College/University,1
94,West Brighton,STATEN ISLAND,College/University,2
95,Westerleigh,STATEN ISLAND,College/University,1
96,Williamsburg,BROOKLYN,College/University,1
97,Wingate,BROOKLYN,College/University,1
98,Woodside,QUEENS,College/University,2
